player,role,skill_level,star_rating,total_matches,teams,batting_avg,strike_rate,total_runs,bowling_avg,economy,total_wickets
RDM Leverock,All-rounder,Average,5.0,12,Bermuda,5.0,64.52,45,33.54,4.36,13.0
B Zuiderent,Batsman,Average,4.0,16,Netherlands,11.12,30.21,178,,,
Mohammad Asif,All-rounder,Average,4.0,32,"Pakistan, Asia XI",2.17,33.7,26,31.92,4.51,40.0
GJ Delany,All-rounder,Average,4.5,18,Ireland,13.56,108.96,217,61.33,6.34,6.0
J Mubarak,Batsman,Average,4.0,33,Sri Lanka,19.67,52.39,531,,5.38,0.0
R Mutumbami,Batsman,Average,4.0,25,Zimbabwe,13.87,74.7,319,,,
DG Brownlie,Batsman,Average,4.0,16,New Zealand,24.07,68.57,361,,,
Suraj Kumar,Batsman,Average,4.0,21,Oman,21.78,62.66,392,,,
J Nyumbu,All-rounder,Average,4.0,17,Zimbabwe,3.46,40.29,45,39.0,5.02,17.0
RJ Sidebottom,All-rounder,Average,4.0,22,England,7.75,70.82,124,37.04,4.65,24.0
Suhrawadi Shuvo,All-rounder,Average,5.0,18,Bangladesh,9.8,82.71,98,46.83,4.43,12.0
CZ Harris,All-rounder,Average,5.0,22,New Zealand,11.28,47.79,203,48.88,3.95,8.0
CJ Ferguson,Batsman,Good,5.5,28,Australia,26.52,80.0,663,,,
DT Hondo,All-rounder,Average,4.0,32,Zimbabwe,2.5,32.32,35,36.77,4.95,30.0
NP Kenjige,All-rounder,Average,5.0,50,United States of America,11.71,71.38,398,34.7,4.26,47.0
Sandeep Goud,Batsman,Average,4.0,36,Oman,19.11,67.03,535,,5.13,0.0
AJ Stewart,Batsman,Good,5.5,11,England,28.7,68.16,287,,,
D Langford-Smith,All-rounder,Average,5.0,10,Ireland,8.78,88.0,79,32.1,4.12,10.0
ID Blackwell,All-rounder,Average,5.0,22,England,8.11,58.96,146,48.91,3.84,11.0
MDK Perera,All-rounder,Average,4.0,13,Sri Lanka,12.67,82.59,152,39.1,5.14,10.0
H Patel,Batsman,Average,4.0,10,Canada,17.6,63.17,176,48.0,5.65,2.0
PP Chawla,All-rounder,Average,4.0,26,India,3.17,72.99,38,41.96,5.0,26.0
RR Patel,Batsman,Average,4.0,10,Kenya,16.8,64.18,168,34.5,4.93,2.0
MA Ouma,Batsman,Average,4.0,26,Kenya,18.0,45.54,468,,,
Habibul Bashar,Batsman,Average,4.0,51,Bangladesh,18.9,43.04,926,,,
VJ Kingma,All-rounder,Average,4.0,23,Netherlands,1.56,24.45,14,23.94,4.85,34.0
Asif Ali,Batsman,Good,6.0,16,Pakistan,25.0,115.89,375,,,
Shahadat Hossain,All-rounder,Average,4.0,33,Bangladesh,3.33,42.54,60,53.48,5.71,27.0
CT Tremlett,All-rounder,Average,4.0,14,England,4.55,43.94,50,57.91,5.18,11.0
PWA Mulder,All-rounder,Average,4.0,17,South Africa,9.71,70.22,136,31.43,5.37,14.0
CT Mutombodzi,All-rounder,Average,4.0,10,Zimbabwe,13.56,88.28,122,50.4,5.48,5.0
PDRL Perera,Bowler,Good,5.5,13,Sri Lanka,1.25,50.0,5,42.91,5.24,11.0
D la Cock,Batsman,Average,4.0,15,Namibia,20.87,63.24,313,,4.5,0.0
BC Fortuin,All-rounder,Average,4.0,10,South Africa,8.29,46.65,58,32.17,5.51,12.0
MA Suji,All-rounder,Average,5.0,11,Kenya,5.14,72.16,36,37.67,3.94,9.0
I Wardlaw,All-rounder,Average,4.0,12,Scotland,2.25,40.94,18,33.06,5.56,17.0
SA Engelbrecht,Batsman,Good,5.5,11,Netherlands,29.73,61.17,327,,8.5,0.0
RL Powell,Batsman,Average,4.0,32,West Indies,19.0,84.79,570,56.33,5.63,3.0
JL Carter,Batsman,Average,4.0,30,West Indies,21.54,69.76,560,37.75,6.86,4.0
ML Nkala,Batsman,Average,4.0,11,Zimbabwe,12.5,57.41,125,73.0,6.08,4.0
AM Phangiso,All-rounder,Average,5.0,22,South Africa,6.75,48.18,81,32.12,4.49,25.0
D Bishoo,All-rounder,Average,4.0,41,West Indies,6.83,47.02,164,51.03,4.86,32.0
Adnan Mufti,Batsman,Average,4.0,16,United Arab Emirates,21.87,77.26,328,,,
AJ Ireland,All-rounder,Average,4.0,13,Zimbabwe,1.71,26.04,12,36.47,5.06,15.0
AM Fernando,Bowler,Average,4.0,15,Sri Lanka,0.75,31.25,3,40.5,5.59,12.0
CJO Smith,Wicketkeeper-Batsman,Average,4.0,10,Scotland,17.44,56.54,157,,,
JS Patel,All-rounder,Average,4.0,39,New Zealand,7.58,57.92,91,36.25,4.98,40.0
SA Wijeratne,Batsman,Average,4.0,10,Canada,21.22,58.86,191,,,
G Toka,Batsman,Average,4.0,21,Papua New Guinea,12.76,48.42,268,53.5,6.69,2.0
HS Baidwan,All-rounder,Average,4.0,16,Canada,9.75,61.31,117,31.55,5.18,22.0
Rashid Latif,Wicketkeeper-Batsman,Average,4.0,20,Pakistan,19.71,81.04,335,,,
JA Duffy,Bowler,Average,4.0,10,New Zealand,2.25,52.08,9,24.67,5.84,18.0
RMS Eranga,All-rounder,Average,4.0,18,Sri Lanka,3.09,37.6,34,31.0,5.59,20.0
DD Ebrahim,Batsman,Average,4.0,29,Zimbabwe,19.82,44.75,555,,,
Hannan Sarkar,Batsman,Average,4.0,13,Bangladesh,21.54,41.29,280,,,
MS Panesar,All-rounder,Average,5.0,26,England,3.71,29.16,26,42.04,4.44,23.0
KK Ahmed,Bowler,Average,4.0,10,India,4.0,55.3,8,28.93,5.79,14.0
F Mutizwa,Batsman,Average,4.0,10,Zimbabwe,18.3,50.03,183,,,
Azhar Mahmood,All-rounder,Average,5.0,11,Pakistan,14.0,78.75,126,58.2,4.48,5.0
S Chattergoon,Batsman,Good,6.5,10,West Indies,31.22,49.96,281,,4.29,0.0
CD Wallace,Batsman,Average,4.0,25,Scotland,20.6,91.28,515,,,
Farhad Reza,All-rounder,Average,4.0,31,Bangladesh,12.64,54.76,316,53.93,5.63,14.0
D Ravu,All-rounder,Average,4.0,16,Papua New Guinea,9.85,55.15,128,57.88,4.77,8.0
ST Gabriel,All-rounder,Average,4.0,23,West Indies,2.0,31.32,22,34.53,5.89,30.0
Umar Amin,Batsman,Average,5.0,19,Pakistan,16.94,64.66,271,,3.43,0.0
CS Baugh,Wicketkeeper-Batsman,Average,4.0,34,West Indies,14.15,66.26,382,,,
PKD Chase,All-rounder,Average,4.0,13,Ireland,2.75,34.66,22,38.16,6.84,19.0
IE O'Brien,Bowler,Average,4.0,10,New Zealand,1.5,18.75,3,34.07,6.28,14.0
Rahat Ali,All-rounder,Average,4.0,14,Pakistan,1.6,29.05,8,35.0,5.58,18.0
GA Lamb,All-rounder,Average,5.0,15,Zimbabwe,14.07,59.69,197,49.33,4.11,9.0
TS Kamunhukamwe,Batsman,Average,4.0,12,Zimbabwe,10.92,55.5,131,,,
DO Obuya,Batsman,Average,4.0,23,Kenya,13.13,42.38,302,,,
PM Siddle,All-rounder,Average,4.5,19,Australia,5.17,102.93,31,42.24,4.79,17.0
R Clarke,All-rounder,Average,4.0,14,England,10.11,37.81,91,36.0,4.84,9.0
Y Cariah,All-rounder,Average,4.0,14,West Indies,13.29,55.76,93,56.27,6.32,11.0
K Birkenstock,All-rounder,Average,4.0,17,Namibia,15.53,43.29,233,43.4,5.71,5.0
Y Venugopal Rao,Batsman,Average,4.0,11,India,20.12,54.81,161,,,
PA Nixon,Wicketkeeper-Batsman,Average,4.0,19,England,16.5,88.85,297,,,
DA Gunawardene,Batsman,Average,4.0,16,Sri Lanka,20.12,47.72,322,,,
HA Varaiya,All-rounder,Average,4.0,17,Kenya,3.91,42.68,43,38.07,4.76,14.0
DE Budge,Batsman,Average,5.0,15,Scotland,16.93,64.1,237,109.0,4.36,1.0
GJ Hopkins,Batsman,Average,4.0,18,New Zealand,14.75,66.43,236,,,
IH Romaine,Batsman,Average,4.0,12,Bermuda,14.58,39.23,175,,7.0,0.0
NR Kumar,Batsman,Average,4.0,12,Canada,16.09,48.55,177,62.0,5.64,1.0
A Saud,Batsman,Average,4.0,11,Nepal,17.18,33.97,189,,,
L Louwrens,Batsman,Average,4.0,25,Namibia,22.29,54.85,535,,,
XM Marshall,Batsman,Average,4.0,26,"United States of America, West Indies",14.58,48.57,379,,,
RD Jacobs,Wicketkeeper-Batsman,Average,4.0,21,West Indies,10.92,54.7,142,,,
Jahurul Islam,Batsman,Average,4.0,12,Bangladesh,20.55,57.16,226,,,
AM Samad,Batsman,Average,4.0,11,Canada,22.6,65.48,226,40.5,8.1,2.0
SM Boland,Bowler,Average,4.0,13,Australia,2.25,54.17,9,44.25,5.95,16.0
Aizaz Khan,All-rounder,Average,4.0,13,Hong Kong,14.3,54.27,143,38.42,5.76,12.0
Nazimuddin,Batsman,Average,4.0,11,Bangladesh,13.36,55.62,147,,,
NB Mahwire,All-rounder,Average,5.0,10,Zimbabwe,5.0,48.0,40,37.57,4.24,7.0
GM Hamilton,Batsman,Average,4.0,10,Scotland,17.3,45.41,173,,,
R Klein,All-rounder,Average,4.0,13,Netherlands,4.22,72.24,38,43.45,4.78,11.0
Saqib Zulfiqar,All-rounder,Average,4.0,11,Netherlands,14.36,65.43,158,41.29,6.28,7.0
B Mavuta,All-rounder,Average,4.0,14,Zimbabwe,9.2,69.2,92,41.11,5.14,9.0
PJ Moor,Batsman,Average,4.0,34,Zimbabwe,16.25,63.24,520,,,
AR White,All-rounder,Average,4.0,25,Ireland,13.09,55.38,301,40.5,4.5,6.0
CO Browne,Wicketkeeper-Batsman,Average,4.0,10,West Indies,18.0,69.54,144,,,
Danish Kaneria,All-rounder,Average,4.0,13,Pakistan,1.8,53.33,9,60.75,4.81,8.0
AB Dinda,All-rounder,Average,4.0,13,India,4.2,36.9,21,49.42,6.11,12.0
T Kamungozi,All-rounder,Average,4.0,13,Zimbabwe,2.78,33.27,25,49.0,5.1,10.0
WK McCallan,All-rounder,Average,5.0,15,Ireland,7.77,46.55,101,36.91,4.1,11.0
T Maruma,Batsman,Average,4.0,17,Zimbabwe,8.13,58.96,122,49.75,5.85,4.0
P Sarraf,All-rounder,Average,4.0,13,Nepal,7.2,63.03,72,40.83,4.62,6.0
A Martin,All-rounder,Average,5.0,10,West Indies,2.0,31.99,10,32.56,3.96,9.0
A McGrath,Batsman,Average,5.0,14,England,14.09,40.41,155,47.67,4.09,3.0
Shan Masood,Batsman,Average,4.0,10,Pakistan,18.11,45.22,163,,,
DR Chumney,Batsman,Average,4.0,11,Canada,19.91,79.43,219,,,
T Marumani,Batsman,Average,4.0,14,Zimbabwe,15.29,65.23,214,,,
CS Martin,Bowler,Star,7.0,10,New Zealand,2.0,66.67,2,56.86,4.68,7.0
T Kaitano,Batsman,Average,4.0,11,Zimbabwe,14.27,47.59,157,,,
DC Thomas,Wicketkeeper-Batsman,Average,4.0,21,West Indies,12.53,52.62,238,4.5,9.0,2.0
Tushar Imran,Batsman,Average,5.0,21,Bangladesh,11.9,40.87,250,57.0,3.8,1.0
VM Nyauchi,All-rounder,Average,4.0,10,Zimbabwe,8.6,71.81,43,45.86,4.72,7.0
AO Suji,All-rounder,Average,4.0,12,Kenya,7.0,43.62,42,46.6,6.13,5.0
NRJ Croes,Batsman,Average,4.5,13,Netherlands,18.82,98.01,207,,,
A Sharafu,Batsman,Average,4.0,18,United Arab Emirates,15.12,56.47,257,,,
Dhiman Ghosh,Wicketkeeper-Batsman,Average,4.0,11,Bangladesh,11.27,42.35,124,,,
CMW Read,Batsman,Average,4.0,21,England,11.14,52.71,156,,,
N Hussain,Batsman,Average,4.0,10,England,14.11,54.04,127,,,
DR Flynn,Batsman,Average,4.0,11,New Zealand,16.7,57.12,167,,6.33,0.0
BJ Patel,Batsman,Average,4.0,10,Kenya,11.8,30.82,118,,7.0,0.0
HS Modi,Batsman,Average,4.0,13,Kenya,15.77,43.99,205,,,
AN Kervezee,Batsman,Average,4.0,10,Netherlands,12.22,52.12,110,,,
BB Chari,Batsman,Average,4.0,14,Zimbabwe,13.29,46.95,186,,,
